NUMERO,ORDEM,ORCAMENTO,VENDA,DATA,TIPO,SERVICO,PRODUTO,UNIDADE,CODFOR,FORNECEDOR,CODPRO,DESCRICAO,CUSTO,VALOR,QUANTIA,DESCONTO,DESCONTOP,TOTAL,CODUSU,USUARIO,STATUS,CONTROLE,REFERENCIA,DATA_ENTRE,HORA_ENTRE,FALTAS,OBS,BARRA,TABELA1,TABELA2,TABELA3,TABELA,CODTEC,TECNICO,PEDIDO,DATASAI,HORASAI,NF,BC_ST,VAL_ST,TELEFONE
7,False,False,False,2022-10-06,PRODUTO,False,False,KT,1,ZENO AUTO PEÇAS,33,KIT COIFA HOMOCINETICA CAMBIO,14.45,14.45,1.0,0.0,0.0,14.45,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
8,False,False,False,2022-10-06,PRODUTO,False,False,KT,1,ZENO AUTO PEÇAS,34,KIT EMBREAGEM,396.74,396.74,1.0,0.0,0.0,396.74,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
9,False,False,False,2022-10-04,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,35,JOGO JUNTA MOTOR,76.42,76.42,1.0,0.0,0.0,76.42,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
9,False,False,False,2022-10-04,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,36,POLIA ALTERNADOR,73.46,73.46,1.0,0.0,0.0,73.46,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
9,False,False,False,2022-10-04,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,37,CORREIA DENTADA,24.29,24.29,1.0,0.0,0.0,24.29,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
9,False,False,False,2022-10-04,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,38,RETENTOR HASTE VALVULA,6.6,6.6,8.0,0.0,0.0,52.8,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
10,False,False,False,2022-10-03,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,39,DIAFRAGMA TAMPA VALVULA,30.85,30.85,1.0,0.0,0.0,30.85,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
11,False,False,False,2022-10-03,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,40,SILENCIOSO INTERMEDIARIO,223.09,223.09,1.0,0.0,0.0,223.09,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
12,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,42,ANTICHAMA,53.48,53.48,1.0,0.0,0.0,53.48,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
13,False,False,False,2022-10-10,PRODUTO,False,False,JG,3,MAESTRI AUTO PEÇAS,45,PASTILHA FREIO DIANTEIRO,51.0,51.0,1.0,0.0,0.0,51.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
13,False,False,False,2022-10-10,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,46,DISCO FREIO DIANTEIRO SOLIDO,85.0,85.0,2.0,0.0,0.0,170.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
14,False,False,False,2022-10-08,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,29,FILTRO LUB DIESEL,29.58,32.0,1.0,0.0,0.0,32.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
15,False,False,False,2022-10-06,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,47,ROLAMENTO RODA DIANTEIRA,156.98,156.98,1.0,0.0,0.0,156.98,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
16,False,False,False,2022-10-06,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,48,CABO EMBREAGEM,60.0,60.0,1.0,0.0,0.0,60.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
17,False,False,False,2022-10-06,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,49,BOMBA OLEO,173.02,173.02,1.0,0.0,0.0,173.02,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
17,False,False,False,2022-10-06,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,50,CARTER MOTOR,168.75,168.75,1.0,0.0,0.0,168.75,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
18,False,False,False,2022-10-05,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,51,SENSOR TEMPERATURA AGUA INJECAO,58.0,58.0,1.0,0.0,0.0,58.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
19,False,False,False,2022-10-03,PRODUTO,False,False,KT,3,MAESTRI AUTO PEÇAS,34,KIT EMBREAGEM,396.74,295.0,1.0,0.0,0.0,295.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
20,False,False,False,2022-10-04,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,52,BOMBA ELETRICA INJECAO COMB,191.56,191.56,1.0,0.0,0.0,191.56,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
21,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,47,ROLAMENTO RODA DIANTEIRA,156.98,105.59,1.0,0.0,0.0,105.59,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
22,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,55,ELETROVENTILADOR,394.51,394.51,1.0,0.0,0.0,394.51,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
23,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,56,PRISIONEIRO RODA TRASEIRO,7.5,7.5,4.0,0.0,0.0,30.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
23,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,57,CRUZETA CARDAN,147.98,147.98,1.0,0.0,0.0,147.98,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
24,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,58,CORREIA MICRO V,51.84,51.84,1.0,0.0,0.0,51.84,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
25,False,False,False,2022-10-13,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,59,BUCHA BALANÇA DIANTEIRA PART TRAS,40.24,40.24,2.0,0.0,0.0,80.48,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
25,False,False,False,2022-10-13,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,61,COXIM MOTOR LD,132.24,132.24,1.0,0.0,0.0,132.24,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
25,False,False,False,2022-10-13,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,25,PIVO SUSPENSAO,44.79,60.5,1.0,0.0,0.0,60.5,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
25,False,False,False,2022-10-13,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,60,BUCHA BALANÇA DIANTEIRA PARTE DIAN,31.23,31.23,2.0,0.0,0.0,62.46,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
26,False,False,False,2022-10-04,SERVICO,False,False,UN,4,RET. MOT. BRUSQUENSE,62,PLAINAR CABEÇOTE,0.0,158.0,1.0,0.0,0.0,158.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
27,False,False,False,2022-10-03,PRODUTO,False,False,UN,5,BELLI & BELLI,63,AUTOMATICO PARTIDA,146.84,146.84,1.0,0.0,0.0,146.84,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
27,False,False,False,2022-10-03,PRODUTO,False,False,UN,5,BELLI & BELLI,64,PORTA ESCOVAS,25.33,25.33,1.0,0.0,0.0,25.33,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
28,False,False,False,2022-10-13,PRODUTO,False,False,UN,5,BELLI & BELLI,65,RELE ACD,209.95,209.95,1.0,0.0,0.0,209.95,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
29,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,66,PORCA RODA CROMADA,11.28,11.28,4.0,0.0,0.0,45.12,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
29,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,67,SENSOR COMBUSTIVEL,96.62,96.62,1.0,0.0,0.0,96.62,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
29,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,68,CALHA CHUVA,153.13,153.13,1.0,0.0,0.0,153.13,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
30,False,False,False,2022-10-13,PRODUTO,False,False,UNI,2,COREMMA LTDA,69,ROLTO RD DT GM CORSA/CELTA,54.42,54.42,1.0,0.0,0.0,54.42,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
31,False,False,False,2022-10-11,PRODUTO,False,False,UN,2,COREMMA LTDA,72,COXIM CAMBIO INFERIOR,74.8,74.8,1.0,0.0,0.0,74.8,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
31,False,False,False,2022-10-11,PRODUTO,False,False,UN,2,COREMMA LTDA,71,COXIM MTR,66.97,66.97,1.0,0.0,0.0,66.97,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
32,False,False,False,2022-10-11,PRODUTO,False,False,PR,2,COREMMA LTDA,73,CJ COXIM BARRA TENSOR,82.53,82.53,1.0,0.0,0.0,82.53,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
33,False,False,False,2022-10-11,PRODUTO,False,False,UN,2,COREMMA LTDA,74,TAMPA RADIADOR,20.47,20.47,1.0,0.0,0.0,20.47,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
33,False,False,False,2022-10-11,PRODUTO,False,False,UN,2,COREMMA LTDA,75,CONEXAO GARGALO,7.83,7.83,1.0,0.0,0.0,7.83,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
34,False,False,False,2022-10-14,PRODUTO,False,False,UN,2,COREMMA LTDA,76,SENSOR ABS,222.6,222.6,1.0,0.0,0.0,222.6,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
35,False,False,False,2022-10-14,PRODUTO,False,False,UN,2,COREMMA LTDA,77,FILTRO LUB CAM,40.18,40.18,1.0,0.0,0.0,40.18,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
36,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,78,CILINDRO MESTRE,195.81,195.81,1.0,0.0,0.0,195.81,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
36,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,25,PIVO SUSPENSAO,60.5,49.42,1.0,0.0,0.0,49.42,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
36,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,79,BARRA AXIAL,28.77,28.77,1.0,0.0,0.0,28.77,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
36,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,80,COXIM AMORTECEDOR,51.88,51.88,1.0,0.0,0.0,51.88,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
36,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,81,RETENTOR POLIA DIANT,49.05,49.05,1.0,0.0,0.0,49.05,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
37,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,82,KIT COIFA CAMBIO,22.45,22.45,1.0,0.0,0.0,22.45,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
38,False,False,False,2022-10-06,PRODUTO,False,False,UN,2,COREMMA LTDA,47,ROLAMENTO RODA DIANTEIRA,105.59,84.89,1.0,0.0,0.0,84.89,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
38,False,False,False,2022-10-06,PRODUTO,False,False,KT,2,COREMMA LTDA,33,KIT COIFA HOMOCINETICA CAMBIO,14.45,24.52,1.0,0.0,0.0,24.52,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
39,False,False,False,2022-10-06,PRODUTO,False,False,UN,2,COREMMA LTDA,25,PIVO SUSPENSAO,49.42,77.63,1.0,0.0,0.0,77.63,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
40,False,False,False,2022-10-06,PRODUTO,False,False,un,2,COREMMA LTDA,83,PESCADOR OLEO,37.26,37.26,1.0,0.0,0.0,37.26,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
41,False,False,False,2022-10-06,PRODUTO,False,False,un,2,COREMMA LTDA,84,RETENTOR TRASEIRO,34.9,34.9,1.0,0.0,0.0,34.9,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
42,False,False,False,2022-10-14,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,9,BOMBA AGUA,188.03,89.26,1.0,0.0,0.0,89.26,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
43,False,False,False,2022-10-14,PRODUTO,False,False,UN,2,COREMMA LTDA,47,ROLAMENTO RODA DIANTEIRA,84.89,88.09,2.0,0.0,0.0,176.18,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
44,False,False,False,2022-10-14,PRODUTO,False,False,un,5,BELLI & BELLI,89,REGULADOR,103.31,103.31,1.0,0.0,0.0,103.31,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
45,False,False,False,2022-10-14,PRODUTO,False,False,un,2,COREMMA LTDA,109,BUCHA DIANTEIRA,19.43,19.43,1.0,0.0,0.0,19.43,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
45,False,False,False,2022-10-14,PRODUTO,False,False,un,2,COREMMA LTDA,110,BUCHA TRASEIRA,38.67,38.67,1.0,0.0,0.0,38.67,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
45,False,False,False,2022-10-14,PRODUTO,False,False,un,2,COREMMA LTDA,105,BATENTE SUSPENSAO TRAS,30.18,30.18,2.0,0.0,0.0,60.36,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
46,False,False,False,2022-10-14,PRODUTO,False,False,mt,2,COREMMA LTDA,111,LENCOL BORRACHA SINTETICA,83.4,83.4,19.0,0.0,0.0,1584.6,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
47,False,False,False,2022-10-17,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,112,KIT ROLAMENTO RODA TRAS,63.23,63.23,1.0,0.0,0.0,63.23,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
48,False,False,False,2022-10-17,PRODUTO,False,False,un,2,COREMMA LTDA,115,REBITE SEMI TUBULAR,1.41,1.41,1.0,0.0,0.0,1.41,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
49,False,False,False,2022-10-10,PRODUTO,False,False,UNI,2,COREMMA LTDA,4,KIT DISTRIBUICAO CORRENTE COMANDO,735.7,735.7,1.0,0.0,0.0,735.7,0,,False,,,,,0.0,,,True,False,False,1,,,,,,,,,
50,False,False,False,2022-10-10,PRODUTO,False,False,UNI,2,COREMMA LTDA,4,KIT DISTRIBUICAO CORRENTE COMANDO,735.7,735.7,1.0,0.0,0.0,735.7,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
50,False,False,False,2022-10-10,PRODUTO,False,False,JG,2,COREMMA LTDA,5,JOGO PARAFUSO,149.03,149.03,1.0,0.0,0.0,149.03,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
50,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,6,JUNTA RETIFICA,278.24,278.24,1.0,0.0,0.0,278.24,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
50,False,False,False,2022-10-10,PRODUTO,False,False,UN,2,COREMMA LTDA,8,TUBO REFRIGERAÇÃO,115.26,115.26,1.0,0.0,0.0,115.26,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
51,False,False,False,2022-10-17,PRODUTO,False,False,UN,2,COREMMA LTDA,116,CILINDRO RODA,31.22,31.22,1.0,0.0,0.0,31.22,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
51,False,False,False,2022-10-17,PRODUTO,False,False,JG,2,COREMMA LTDA,117,LONA,30.75,30.75,1.0,0.0,0.0,30.75,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
52,False,False,False,2022-10-17,PRODUTO,False,False,UN,2,COREMMA LTDA,118,SENSOR VELOCI,39.61,39.61,1.0,0.0,0.0,39.61,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
53,False,False,False,2022-10-18,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,121,LIMPA AR CONDICIONADO,18.8,18.8,1.0,0.0,0.0,18.8,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
53,False,False,False,2022-10-18,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,44,FILTRO AR,20.0,29.67,1.0,0.0,0.0,29.67,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
53,False,False,False,2022-10-18,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,122,FILTRO AR CONDICIONADO,24.94,24.94,1.0,0.0,0.0,24.94,0,,False,E,,,,0.0,,,False,False,False,1,,,,,,,,,
53,False,False,False,2022-10-18,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,37,CORREIA DENTADA,24.29,90.27,1.0,0.0,0.0,90.27,0,,False,E,,,,0.0,,,False,False,False,1,,,,,,,,,
53,False,False,False,2022-10-18,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,123,TENSOR DENTADA,106.95,106.95,1.0,0.0,0.0,106.95,0,,False,E,,,,0.0,,,False,False,False,1,,,,,,,,,
53,False,False,False,2022-10-18,PRODUTO,False,False,KT,1,ZENO AUTO PEÇAS,124,KIT CORREIA DENTADA,122.9,122.9,1.0,0.0,0.0,122.9,0,,False,E,,,,0.0,,,False,False,False,1,,,,,,,,,
54,False,False,False,2022-10-18,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,125,COXIM AMORTECEDOR DIANTEIRO,136.75,136.75,1.0,0.0,0.0,136.75,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
55,False,False,False,2022-10-18,PRODUTO,False,False,UN,2,COREMMA LTDA,128,PARAFUSO RODA,3.11,3.11,5.0,0.0,0.0,15.55,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
55,False,False,False,2022-10-18,PRODUTO,False,False,UN,2,COREMMA LTDA,66,PORCA RODA CROMADA,11.28,4.53,5.0,0.0,0.0,22.65,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
56,False,False,False,2022-10-20,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,25,PIVO SUSPENSAO,77.63,88.94,1.0,0.0,0.0,88.94,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
56,False,False,False,2022-10-20,PRODUTO,False,False,KT,1,ZENO AUTO PEÇAS,32,KIT COIFA HOMOCINETICA RODA,22.25,24.04,1.0,0.0,0.0,24.04,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
56,False,False,False,2022-10-20,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,136,BUCHA BARRA ESTABILIZADORA,24.77,24.77,2.0,0.0,0.0,49.54,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
56,False,False,False,2022-10-20,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,137,BIELETA DIANTEIRA,47.71,47.71,1.0,0.0,0.0,47.71,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
57,False,False,False,2022-10-20,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,135,SONDA LAMBDA,269.88,269.88,1.0,0.0,0.0,269.88,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
59,False,False,False,2022-10-21,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,143,TERMINAL DIRECAO,74.86,74.86,1.0,0.0,0.0,74.86,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
60,False,False,False,2022-10-21,PRODUTO,False,False,un,2,COREMMA LTDA,144,JUNTA FIXA,136.48,136.48,1.0,0.0,0.0,136.48,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
61,False,False,False,2022-10-22,PRODUTO,False,False,UN,2,COREMMA LTDA,148,JUNTA TAMPA VALVULA,55.65,55.65,1.0,0.0,0.0,55.65,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
61,False,False,False,2022-10-22,PRODUTO,False,False,un,2,COREMMA LTDA,113,VELA IGNICAO,12.0,23.77,4.0,0.0,0.0,95.08,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
64,False,False,False,2022-10-24,PRODUTO,False,False,KT,1,ZENO AUTO PEÇAS,150,KIT TBI,59.43,59.43,2.0,0.0,0.0,118.86,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
65,False,False,False,2022-10-24,PRODUTO,False,False,JG,3,MAESTRI AUTO PEÇAS,45,JOGO PASTILHA FREIO DIANTEIRO,0.0,79.0,1.0,0.0,0.0,79.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
65,False,False,False,2022-10-24,PRODUTO,False,False,JG,3,MAESTRI AUTO PEÇAS,147,JOGO DISCO FREIO DIANTEIRO VENTILADO,0.0,354.0,1.0,0.0,0.0,354.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
65,False,False,False,2022-10-24,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,146,REPARO PINÇA FREIO,0.0,60.54,2.0,0.0,0.0,121.08,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
66,False,False,False,2022-10-24,PRODUTO,False,False,UN,3,MAESTRI AUTO PEÇAS,145,FLEXIVEL FREIO DIANT,69.0,69.0,2.0,0.0,0.0,138.0,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
67,False,False,False,2022-10-25,PRODUTO,False,False,UN,2,COREMMA LTDA,24,SENSOR ROTACAO,97.8,97.8,1.0,0.0,0.0,97.8,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
68,False,False,False,2022-10-24,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,28,BOBINA IGNICAO,237.47,361.18,1.0,0.0,0.0,361.18,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
69,False,False,False,2022-10-24,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,152,CABO ENGATE,183.75,183.75,1.0,0.0,0.0,183.75,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
70,False,False,False,2022-10-26,PRODUTO,False,False,un,1,ZENO AUTO PEÇAS,143,TERMINAL DIRECAO,74.86,48.27,2.0,0.0,0.0,96.54,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
70,False,False,False,2022-10-26,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,155,FERRADURA BARRA TENSORA DIREITA,90.37,90.37,1.0,0.0,0.0,90.37,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
70,False,False,False,2022-10-26,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,156,FERRADURA BARRA TENSORA ESQ,90.33,90.33,1.0,0.0,0.0,90.33,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
70,False,False,False,2022-10-26,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,125,COXIM AMORTECEDOR DIANTEIRO,136.75,35.33,2.0,0.0,0.0,70.66,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
73,False,False,False,2022-10-25,PRODUTO,False,False,UN,2,COREMMA LTDA,159,TERMINAL CABO ENGATE,56.46,53.76,1.0,0.0,0.0,53.76,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
75,False,False,False,2022-10-26,PRODUTO,False,False,UN,2,COREMMA LTDA,160,CABO SELECAO,146.2,146.2,1.0,0.0,0.0,146.2,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
76,False,False,False,2022-10-26,PRODUTO,False,False,un,2,COREMMA LTDA,152,CABO ENGATE,183.75,147.04,1.0,0.0,0.0,147.04,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
