REGISTRO,DATA,CODCXA,CAIXA,ORDEM,PEDIDO,DATAOS,TOTAL,TITULO,PARCELA,PARCELAS,CHEQUE,VALOR,HISTORICO,CODCTA,NOMECTA,FORNECE,CODFOR,SALDO,CODNIV,DESNIV,CTO,OBS,DATAV,DATAP,VALORP,SITUACAO,JUROS,MULTA,RECIBO,FORMA,PRAZO,PV,HISTORICO2,HISTORICO3,PTITULO,PCHEQUE,PERJUROS,PERMULTA,PERDESC,DESCONTO,DIAS,DP,DF,SELECIONA
58,2022-10-25,1,CAIXA DINHEIRO,,,2022-10-25,5980.0,CO000124,5,5,0,1196.0,AVIV COMERCIO LTDA (MAUER),2,COMPRA PRODUTOS PRA REVENDA,AVIV COMERCIO LTDA (MAUER),9,6470.53,0,CUSTO GERAL,725,,2023-02-02,2023-02-02,1196.0,P,0.0,0.0,,BOLETO,20,2022-11-14,,,True,,0.0,0.0,0.0,0.0,,True,False,
62,2022-11-07,1,CAIXA DINHEIRO,,,2022-11-07,761.72,classe mov,1,2,0,380.86,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,9148.08,2,CUSTO GERAL,267,,2022-11-20,2022-12-02,380.86,P,0.0,0.0,,BOLETO,30,2022-11-20,,,True,False,0.0,0.0,0.0,0.0,12,True,False,False
63,2022-11-07,7,VIA CREDI PF,,,2022-11-07,761.72,classe mov,2,2,0,380.86,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,3541.42,2,CUSTO GERAL,469,,2022-12-20,2022-12-20,380.86,P,0.0,0.0,,BOLETO,30,2022-11-20,,,True,False,0.0,0.0,0.0,0.0,,True,False,False
64,2022-11-07,1,CAIXA DINHEIRO,,,,103.71,seguro emp,1,,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,288.13,2,CUSTO GERAL,258,,2022-11-12,2022-12-02,103.71,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,20,True,False,False
66,2022-11-07,1,CAIXA DINHEIRO,,,2022-11-07,518.55,seguro,1,5,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,6185.79,2,CUSTO GERAL,361,,2022-12-12,2022-12-12,103.71,P,0.0,0.0,,BOLETO,30,2022-12-12,,,True,False,0.0,0.0,0.0,0.0,,True,False,False
67,2022-11-07,6,VIA CREDI PJ,,,2022-11-07,518.55,seguro,2,5,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,459.0,2,CUSTO GERAL,595,,2023-01-11,2023-01-13,103.71,P,0.0,0.0,,BOLETO,30,2022-12-12,,,True,False,0.0,0.0,0.0,0.0,2,True,False,False
68,2022-11-07,6,VIA CREDI PJ,,,2022-11-07,518.55,seguro,3,5,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,15157.67,2,CUSTO GERAL,804,,2023-02-10,2023-02-13,103.71,P,0.0,0.0,,BOLETO,30,2022-12-12,,,True,False,0.0,0.0,0.0,0.0,3,True,False,False
70,2022-11-07,1,CAIXA GERAL,,,2022-11-07,518.55,seguro,5,5,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,0.0,2,CUSTO GERAL,1349,,2023-04-11,2023-04-11,103.71,P,0.0,0.0,,BOLETO,30,2022-12-12,,,True,False,0.0,0.0,0.0,0.0,,True,False,False
71,2022-11-10,6,VIA CREDI PJ,,,,690.66,GF,1,,0,690.66,,68,PNEUS,GF PNEUS COMERCIAL,12,13820.39,5,COMPRAS,250,,2022-12-01,2022-12-02,690.66,P,0.0,0.0,,DEBITO EM CONTA,,,,,True,False,0.0,0.0,0.0,0.0,1,True,False,False
73,2022-11-10,6,VIA CREDI PJ,,,,870.0,COREMMA,1,,0,870.0,,65,PEÇAS,COREMMA LTDA,2,2066.0,5,COMPRAS,310,,2022-12-05,2022-12-08,870.0,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,3,True,False,False
74,2022-11-10,6,VIA CREDI PJ,,,,668.0,COREMMA,1,,0,668.0,,65,PEÇAS,COREMMA LTDA,2,0.0,5,COMPRAS,568,,2023-01-07,2023-01-11,668.0,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,4,True,False,False
75,2022-11-10,6,VIA CREDI PJ,,,,410.0,BRINDES,1,,0,410.0,,72,PROPAGANDA E PUBLICIDADE,BRINDES BRUSQUE,13,0.0,2,CUSTO GERAL,314,,2022-12-07,2022-12-08,410.0,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,1,True,False,False
76,2022-11-10,6,VIA CREDI PJ,,,,767.69,BATERIA,1,,0,767.69,,84,BATERIAS,BATERIAS PIONEIRO DISTRIBUIDORA,7,4293.44,5,COMPRAS,315,,2022-12-08,2022-12-08,767.69,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,,True,False,False
77,2022-11-10,6,VIA CREDI PJ,,,,912.0,PNEUS,1,,0,912.0,,68,PNEUS,AVIV COMERCIO LTDA (MAUER),9,5205.44,5,COMPRAS,316,,2022-12-08,2022-12-08,912.0,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,,True,False,False
142,2022-11-10,1,CAIXA DINHEIRO,,,2022-11-10,8820.0,CONSORCIO,1,14,0,630.0,,81,CONSORCIOS,VIA CREDI EMPRESARIAL,14,6815.79,4,CUSTO FINANCEIRO,362,,2022-12-12,2022-12-12,630.0,P,0.0,0.0,,DEBITO EM CONTA,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
171,2022-11-10,1,CAIXA DINHEIRO,,,2022-11-10,1400.0,ENERGIA CA,1,14,0,620.0,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,7435.79,2,CUSTO GERAL,363,,2022-12-12,2022-12-12,620.0,P,0.0,0.0,,DEBITO EM CONTA,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
172,2022-11-10,6,VIA CREDI PJ,,,2022-11-10,1400.0,ENERGIA CA,2,14,0,569.83,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,459.0,2,CUSTO GERAL,598,,2023-01-12,2023-01-13,569.83,P,0.0,0.0,,DEBITO EM CONTA,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,1,False,True,False
29,2022-11-10,6,VIA CREDI PJ,,,2022-11-10,1400.0,ENERGIA CA,3,14,0,569.58,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,7066.93,2,CUSTO GERAL,869,,2023-02-12,2023-02-22,569.58,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,10,False,True,False
30,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,4,14,0,616.47,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,0.0,2,CUSTO GERAL,1131,,2023-03-12,2023-03-20,616.47,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,8,False,True,False
175,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,5,14,0,100.0,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,2218.94,2,CUSTO GERAL,1381,,2023-04-12,2023-04-14,100.0,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,2,False,True,False
31,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,6,14,0,179.46,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,4417.0,2,CUSTO GERAL,1621,,2023-05-12,2023-05-15,179.46,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,3,False,True,False
32,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,7,14,0,190.73,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,0.0,2,CUSTO GERAL,1921,,2023-06-12,2023-06-19,190.73,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,7,False,True,False
33,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,8,14,0,219.63,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,0.0,2,CUSTO GERAL,2134,,2023-07-12,2023-07-17,219.63,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,5,False,True,False
34,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,9,14,0,303.57,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,2145.47,2,CUSTO GERAL,2402,,2023-08-12,2023-08-21,303.57,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,9,False,True,False
35,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,10,14,0,272.45,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,0.0,2,CUSTO GERAL,2603,,2023-09-12,2023-09-18,272.45,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,6,False,True,False
181,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,11,14,0,100.0,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,12542.73,2,CUSTO GERAL,2822,,2023-10-12,2023-10-16,100.0,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,4,False,True,False
182,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,12,14,0,100.0,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,403.0,2,CUSTO GERAL,3147,,2023-11-12,2023-11-27,100.0,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,15,False,True,False
38,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,13,14,0,280.59,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,0.0,2,CUSTO GERAL,3338,,2023-12-12,2023-12-18,280.59,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,6,False,True,False
184,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1400.0,ENERGIA CA,14,14,0,100.0,,21,DESPESAS DIVERSAS (PARTICULAR),SIMONI SCHERER RUPPENTHAL,10,0.0,2,CUSTO GERAL,3522,,2024-01-12,2024-01-15,100.0,P,0.0,0.0,,BOLETO,12,2022-11-12,,,True,False,0.0,0.0,0.0,0.0,3,False,True,False
185,2022-11-10,1,CAIXA DINHEIRO,,,,2281.57,PNEUS,1,,0,2281.57,,68,PNEUS,SIGA BEM DIST DE LUBRIFICANTES LTDA,8,9717.36,5,COMPRAS,364,,2022-12-12,2022-12-12,2281.57,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,,True,False,False
190,2022-11-10,6,VIA CREDI PJ,,,2022-11-10,311.13,SEGURO EMP,1,3,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,15261.38,2,CUSTO GERAL,805,,2023-02-10,2023-02-13,103.71,P,0.0,0.0,,BOLETO,12,2023-02-10,,,True,False,0.0,0.0,0.0,0.0,3,True,False,False
191,2022-11-10,1,CAIXA GERAL,,,2022-11-10,311.13,SEGURO EMP,2,3,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,0.0,2,CUSTO GERAL,1132,,2023-03-12,2023-03-20,103.71,P,0.0,0.0,,BOLETO,12,2023-02-10,,,True,False,0.0,0.0,0.0,0.0,8,True,False,False
192,2022-11-10,1,CAIXA GERAL,,,2022-11-10,311.13,SEGURO EMP,3,3,0,103.71,,86,SEGURO EMPRESA,CESAR LUIS RAMOS,11,2218.94,2,CUSTO GERAL,1382,,2023-04-12,2023-04-14,103.71,P,0.0,0.0,,BOLETO,12,2023-02-10,,,True,False,0.0,0.0,0.0,0.0,2,True,False,False
193,2022-11-10,1,CAIXA DINHEIRO,,,,1880.0,VC PF,1,,0,1880.0,,87,SERVIÇO RETIFICA,RETIFICA BONONOMI,15,2168.13,5,COMPRAS,259,,2022-11-13,2022-12-02,1880.0,P,0.0,0.0,,CHEQUE,,,,,True,False,0.0,0.0,0.0,0.0,19,True,False,False
213,2022-11-10,6,VIA CREDI PJ,,,2022-11-10,1890.0,ravem,1,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,135.0,4,CUSTO FINANCEIRO,423,,2022-12-14,2022-12-16,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,2,False,True,False
215,2022-11-10,6,VIA CREDI PJ,,,2022-11-10,1890.0,ravem,3,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,8782.67,4,CUSTO FINANCEIRO,873,,2023-02-14,2023-02-22,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,8,False,True,False
216,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,4,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,0.0,4,CUSTO FINANCEIRO,1136,,2023-03-14,2023-03-20,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,6,False,True,False
217,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,5,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,2218.94,4,CUSTO FINANCEIRO,1388,,2023-04-14,2023-04-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
219,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,7,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,0.0,4,CUSTO FINANCEIRO,1878,,2023-06-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
220,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,8,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,0.0,4,CUSTO FINANCEIRO,1879,,2023-07-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
221,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,9,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,0.0,4,CUSTO FINANCEIRO,1880,,2023-08-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
222,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,10,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,27124.67,4,CUSTO FINANCEIRO,1881,,2023-09-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
223,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,11,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,675.0,4,CUSTO FINANCEIRO,1882,,2023-10-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
224,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,12,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,810.0,4,CUSTO FINANCEIRO,1883,,2023-11-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
225,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,13,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,0.0,4,CUSTO FINANCEIRO,1884,,2023-12-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
226,2022-11-10,1,CAIXA GERAL,,,2022-11-10,1890.0,ravem,14,14,0,135.0,,2,MANUTENCAO FERRAMENTA,RAVEN SCANNER,16,0.0,4,CUSTO FINANCEIRO,1885,,2024-01-14,2023-06-14,135.0,P,0.0,0.0,,BOLETO,14,2022-11-14,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
227,2022-11-10,1,CAIXA DINHEIRO,,,,1110.0,V PJ,1,,0,1110.0,,87,SERVIÇO RETIFICA,BBI,17,4474.13,5,COMPRAS,261,,2022-11-14,2022-12-02,1110.0,P,0.0,0.0,,CHEQUE,,,,,True,False,0.0,0.0,0.0,0.0,18,True,False,False
228,2022-11-10,1,CAIXA DINHEIRO,,,,2280.89,PNEUS,1,,0,2280.89,,68,PNEUS,SIGA BEM DIST DE LUBRIFICANTES LTDA,8,6755.02,5,COMPRAS,262,,2022-11-14,2022-12-02,2280.89,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,18,True,False,False
229,2022-11-10,6,VIA CREDI PJ,,,,1442.0,PECAS,1,,0,1442.0,,65,PEÇAS,COREMMA LTDA,2,1577.0,5,COMPRAS,424,,2022-12-14,2022-12-16,1442.0,P,0.0,0.0,,BOLETO,,,,,True,False,0.0,0.0,0.0,0.0,2,True,False,False
233,2022-11-10,6,VIA CREDI PJ,,,2022-11-10,41300.0,116.000,1,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,2950.0,4,CUSTO FINANCEIRO,406,,2022-12-15,2022-12-15,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,,False,True,False
234,2022-11-10,1,CAIXA DINHEIRO,,,2022-11-10,41300.0,116.000,2,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,3409.0,4,CUSTO FINANCEIRO,791,,2023-01-15,2023-02-13,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,29,False,True,False
235,2022-11-10,6,VIA CREDI PJ,,,2022-11-10,41300.0,116.000,3,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,14002.03,4,CUSTO FINANCEIRO,877,,2023-02-15,2023-02-22,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,7,False,True,False
236,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,4,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,2950.0,4,CUSTO FINANCEIRO,1228,,2023-03-15,2023-03-29,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,14,False,True,False
237,2022-11-10,0,,,,2022-11-10,41300.0,116.000,5,14,,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,9727.95,4,CUSTO FINANCEIRO,,,2023-04-15,,0.0,A,,,,DEBITO EM CONTA,15,2022-11-15,,,True,False,,,,,454,False,True,False
238,2022-11-10,0,,,,2022-11-10,41300.0,116.000,6,14,,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,12677.95,4,CUSTO FINANCEIRO,,,2023-05-15,,0.0,A,,,,DEBITO EM CONTA,15,2022-11-15,,,True,False,,,,,424,False,True,False
239,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,7,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,0.0,4,CUSTO FINANCEIRO,1932,,2023-06-15,2023-06-19,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,4,False,True,False
240,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,8,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,0.0,4,CUSTO FINANCEIRO,2174,,2023-07-15,2023-07-24,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,9,False,True,False
241,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,9,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,4091.9,4,CUSTO FINANCEIRO,2464,,2023-08-15,2023-08-28,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,13,False,True,False
242,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,10,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,2950.0,4,CUSTO FINANCEIRO,3023,,2023-09-15,2023-11-10,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,56,False,True,False
243,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,11,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,5900.0,4,CUSTO FINANCEIRO,3024,,2023-10-15,2023-11-10,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,26,False,True,False
244,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,12,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,8633.24,4,CUSTO FINANCEIRO,3151,,2023-11-15,2023-11-27,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,12,False,True,False
245,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,13,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,0.0,4,CUSTO FINANCEIRO,3343,,2023-12-15,2023-12-18,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,3,False,True,False
246,2022-11-10,1,CAIXA GERAL,,,2022-11-10,41300.0,116.000,14,14,0,2950.0,,44,FINANCIAMENTO,VIA CREDI EMPRESARIAL,14,0.0,4,CUSTO FINANCEIRO,3566,,2024-01-15,2024-01-22,2950.0,P,0.0,0.0,,DEBITO EM CONTA,15,2022-11-15,,,True,False,0.0,0.0,0.0,0.0,7,False,True,False
