COD,NOM,EST,TEL1,RUA,BAI,CID,UF,CPL,CEP,INI,TEL2,TEL3,FAX,CEL,CTO,EMAIL,HOME,MSN,CGC,CPF,RG,ORGAO,IE,IM,OBS1,OBS2,OBS3,OBS4,OBS5,OBS6,OBS7,DATA,CODREP,REPRES,CODREG,REGIAO,TIPO,TABELA,FORNE,TRANS,CODTIP,ABORDAGEM
38,SANEAMENTO GUABIRUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-19,,,,,,,,,0,
39,GL COMERCIAL LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-13,,,,,,,,,0,
40,COMERCIAL LUCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-13,,,,,,,,,0,
41,ENERGIA ERBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-16,,,,,,,,,0,
42,BLACK PRIME SUL COM DE PRODUTOS,,,,,,,,,,,,(  )     -,,,,,,,,,,,,,,,,,,,2023-01-20,,,,,,,,,0,
43,AHS INDUSTRIA E COMERCIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-20,,,,,,,,,0,
44,PREFEITURA MUNICIPAL GUABIRUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-30,,,,,,,,,0,
45,NTOOLS INFORMATICA,,,,,,,,,,,,(47) 3049-0009,,,,,,,,,,,,,,,,,,,2023-01-30,,,,,,,,,0,
46,GP PNEUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-30,,,,,,,,,0,
47,CAIXA ECONOMICA FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-27,,,,,,,,,0,
48,FREDY PNEUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13,,,,,,,,,0,
49,RECICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-23,,,,,,,,,0,
50,GTS COMERCIO ATACADISTA PNEUS E ACESSORIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-23,,,,,,,,,0,
51,RADIO GUABIRUBA FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-03,,,,,,,,,0,
52,AUTO PEÇAS NICOLETTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-10,,,,,,,,,0,
53,MECANICA ZANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-10,,,,,,,,,0,
54,AUTO PEÇAS SILVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12,,,,,,,,,0,
55,GOMA PNEUS LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-18,,,,,,,,,0,
56,SC TRANSPORTES,,,,,,,,,,,,(48) 8468-5740,,,,,,,,,,,,,,,,,,,2023-05-02,,,,,,,,,0,
57,DENNYS RODRIGUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-02,,,,,,,,,0,
58,CONSSETRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-19,,,,,,,,,0,
59,SCHNAIDER DISTRIBUIDORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-13,,,,,,,,,0,
60,VIA CREDI PESSOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-22,,,,,,,,,0,
61,VELLOZ COMERCIAL,,,,,,,,,,,,(47)99191-8888,,,,,,,,,,,,,,,,,,,2023-06-29,,,,,,,,,0,
62,ASCRIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-03,,,,,,,,,0,
63,DISTRIBUIDORA CONDOR FORTA LTDA,LUB MOTUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-07,,,,,,,,,0,
64,PONTO DE INJECAO ELETRONICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-07,,,,,,,,,0,
65,CANTU PNEUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-17,,,,,,,,,0,
66,GRAFICA NOVA IMPRESSÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-04,,,,,,,,,0,
67,SCHERER AUTO PEÇAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-04,,,,,,,,,0,
68,ARALDI AUTO PEÇAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-12,,,,,,,,,0,
69,RADIADORES LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-31,,,,,,,,,0,
70,JPL COMERCIO DE AUTO PEÇAS LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-28,,,,,,,,,0,
71,CHUMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-07,,,,,,,,,0,
72,KEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-07,,,,,,,,,0,
73,AFEG ASSOCIACAO DE FUTEBOL EDUCACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-11,,,,,,,,,0,
74,GIORDANO TURRA DISTRIBUIDORA DE PEÇAS,,(48) 3240-9090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-18,,,,,,,,,0,
75,VIVO EMPRESAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-22,,,,,,,,,0,
76,CAIXA DIRECAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-01,,,,,,,,,0,
77,FUNCIONARIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-05,,,,,,,,,0,
78,SO CAIXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-22,,,,,,,,,0,
79,DOMTEC MATERIAIS ELETRICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-04,,,,,,,,,0,
80,MERCADO LIVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22,,,,,,,,,0,
81,SUBLIME AROMATIZANTES,,,,,,,,,,,,(47)99972-6998,,,,,,,,,,,,,,,,,,,2024-03-25,,,,,,,,,0,
82,UNIMED EMPRESARIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-08,,,,,,,,,0,
83,KOHLER EMBALAGENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-12,,,,,,,,,0,
84,JC FERRO VELHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-27,,,,,,,,,0,
85,PRO MAIS DIST PROD,LUBRIFICANTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-11,,,,,,,,,0,
86,B2M AUTO PARTS LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-13,,,,,,,,,0,
87,TORNEARIA MOREIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-17,,,,,,,,,0,
88,AM RADIADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-17,,,,,,,,,0,
89,RETIGUABI,,,,,,,,,,,,(47)99174-2351,,,,,,,,,,,,,,,,,,,2024-09-24,,,,,,,,,0,
90,STOP FIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-21,,,,,,,,,0,
91,AM COMERCIO E INSTALADORA DE SISTEMAS DE SEGURANÇA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-13,,,,,,,,,0,
92,NEI PINTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-13,,,,,,,,,0,
93,SUA CASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-10,,,,,,,,,0,
94,JK COMERCIO DE PNUES CARDOSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-03,,,,,,,,,0,
95,RETIFICA DE MOTORES GASPAR,,,,,,,,,,,,(  )     -,,,,,,,,,,,,,,,,,,,2025-04-17,,,,,,,,,0,
96,MARISCO CABEÇOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28,,,,,,,,,0,
97,MAURICIO RODAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30,,,,,,,,,0,
98,ITR PNEUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08,,,,,,,,,0,
99,CAMBIOS DOIS IRMAOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24,,,,,,,,,0,
100,DISTRIBUIDORA DE AUTO PEÇAS MOTORS IMPORTS,,(47) 3404-5885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07,,,,,,,,,0,
101,TECNAUTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-09,,,,,,,,,0,
102,CALIAS UNIFORMES,,,,,,,,,,,,(47)99226-8821,,,,,,,,,,,,,,,,,,,2026-02-25,,,,,,,,,0,
103,CESARI CARTUCHOS,,,,,,,,,,,,(47) 9772-4656,,,,,,,,,,,,,,,,,,,2026-04-01,,,,,,,,,0,
104,MDM AUTO PARTS,,,,,,,,,,,,(47)99718-8386,,,,,,,,,,,,,,,,,,,2026-04-01,,,,,,,,,0,
