PLACA,CODCLI,OBSERVA
MFM909,734,          
AOG830,46,          
LRT255,476,          
QJK528,735,"          






"
QJN355,736,          
QHX1G8,737,          
QHL276,115,          
MJK5F8,739,          
MJF3I0,308,          
MKC031,738,          
MDR574,740,          
MLO296,741,          
MLL8F9,743,          
MKP634,541,          
QLS3I3,744,          
MIK7D5,110,          
MII134,750,          
RDS2F8,751,          
MCL123,752,          
QHQ651,753,          
DDO8G8,749,          
MLS111,732,          
QHA064,754,          
MLC7I6,757,          
LYC615,759,          
AIB5E8,77,          
LXH5A8,1019,          
QHB6B0,760,          
MAR156,761,          
BEY0D6,763,          
MCN942,764,          
MKR223,167,          
DTU890,766,          
MMK671,768,          
RAE9F9,767,          
MIQ836,769,          
FJT2I7,770,          
MKC9J8,771,          
MIG427,772,"          
"
FMC6C9,773,          
MFA121,774,          
MFM641,159,          
MGG5A4,777,          
AZC180,778,          
IVW915,755,          
QHU5H1,539,          
RAH380,1462,RODIZIO PNEUS     
ANI076,781,          
RLB2E8,782,          
PEX8I8,417,          
MHU8A3,676,          
PGJ3G9,641,          
QULÇ1E,785,          
MDJ366,786,          
MIW7F4,787,          
IPI0I9,66,          
MBS430,788,          
MCQ096,64,          
FBX233,1024,          
ASX9S1,791,          
ASX9J1,791,          
OAP1F3,793,          
MHL159,794,          
COI282,796,          
OKE766,466,          
IQX2J3,798,          
MCV4F5,800,          
MJK4D7,801,          
MLO3B0,802,          
MIE951,676,          
MEY590,803,          
QJD708,804,          
MIW8J3,806,          
EEO6D3,807,          
MAH381,476,          
LWR343,809,          
MKQ401,810,          
LYD3C1,811,          
MDQ432,812,          
QOC5D3,813,          
MHY802,1,          
MJG772,815,          
ANV441,816,          
MGG2C6,817,          
MHI7C2,818,          
EZT8F2,819,          
JGP301,820,          
MJN746,821,          
MLA6A1,478,          
MIF8E7,822,          
MHT707,764,          
MBZ892,825,          
MGU8I8,827,          
MER476,830,          
GBG7A2,831,          
QHJ6A7,562,          
MMP991,159,          
MFK010,833,          
MHK9A6,835,          
MGH852,832,          
HJJ6F7,139,          
MCO893,834,          
MDB348,840,          
REB6I7,832,          
MFO2G8,846,          
MLC6D7,836,          
MDY165,847,          
MJB977,848,          
RDV8F9,65,          
MGR195,843,          
QIU564,838,          
MHZ3E4,850,          
MJZ9A7,844,          
IXB0A9,852,          
AXX9F5,854,          
BDC5C8,732,          
FAB3A3,446,          
HOD055,855,          
MHR0F2,856,          
MCB3G9,851,          
QHZ252,71,          
QIM712,857,          
MHK038,861,          
DWC8G1,826,          
QJQ776,860,          
EGQ7G3,863,          
DTB275,861,          
MGB772,215,          
MKF010,833,          
MHF8D0,1224,          
CTO601,865,          
MHA897,862,          
MHA1D6,870,          
IJO099,869,          
DQH6I5,230,          
MLN280,872,          
MIV729,873,          
MHA9B6,874,          
QTM0C4,213,          
AIX7J5,875,          
AKZ006,876,          
QTM5F9,878,          
MID912,879,          
MMF986,880,          
MDD353,881,          
OKH1C4,882,          
MGG8B6,883,          
MFF986,880,          
OKE7G6,466,          
MGQ738,884,          
MKL1B6,885,          
MJL8F2,587,          
MAV093,887,          
QIB3D2,888,          
LDI5G3,886,          
QJG791,889,          
QJR138,890,          
MJF308,893,          
MKN640,894,          
MFH0J1,895,          
MGK579,896,          
MEF6D9,891,          
MEB3B3,899,          
HIX941,901,          
MHL760,879,          
AXK0D0,656,          
MDY9A5,904,          
AJE3G7,254,          
DHX3F0,906,          
MJO009,908,          
HLM1A0,579,          
MKZ4E9,909,          
RAG8A5,910,          
WPE1H1,911,          
MCF9B5,912,"          
"
MIW371,913,          
QJR467,916,          
MLZ082,917,          
LQG818,918,          
GDO7H7,39,          
MUC654,957,          
MKT9A4,920,          
IUJ535,921,          
MK6B52,483,          
MKX6B5,483,          
DFS7E6,923,          
QJW7A1,922,          
CVB2B9,50,          
MDQ194,739,          
MZB132,924,          
MGR8J6,925,          
HNY208,926,          
MKO320,927,          
MGK4C1,928,          
RIB1C3,930,          
DEH0F6,76,          
EZG1B0,931,          
MIY4J5,932,          
MMI0D7,1126,"          
"
MKA0E0,935,          
MDD781,154,          
ASO623,938,          
MGH7I1,936,          
MHQ965,53,          
QHU1G8,939,          
QIB9D7,612,          
MLL292,941,          
MHN715,942,          
MML6D3,943,          
MIE082,171,          
RL04I1,5,          
QQK5B3,631,          
MCW4G5,945,          
MCQ0J6,64,          
MGE6A7,946,          
AHO238,90,          
MER9J4,948,          
QHO8F8,115,          
MHX115,950,          
CDJ5C8,1023,          
MCL417,951,          
LYW979,952,          
MGO385,313,          
MJL1B1,614,PEÇAS DANIFICADAS: PASTILHA DE DISCO DIANT/ BARRA AXIAL TRAS          
MCR2D5,670,          
MDL700,955,          
APH4F2,956,          
MAF588,958,          
GAQ4E6,953,          
GAQ4F6,953,          
LYU911,962,          
BEE199,960,          
MGJ457,963,          
RTE3J7,964,          
MHO6G0,965,          
MHZ737,796,          
LYO165,968,          
RYH1F3,37,          
MEJ594,29,          
MIU683,84,          
QHI5E0,5,          
MEO5J3,1584,          
MLH8B0,973,          
MIM9C3,974,          
MIN488,998,          
MJH2E0,977,          
AMY364,978,          
MEE7A2,979,          
MJN031,982,          
OKN7D6,981,"          
"
FEE9F3,983,          
MBW1G8,116,          
MGMOC5,984,          
MGM0C5,985,          
MKF149,986,          
MKO4D2,987,          
QIS9A4,517,          
LWU118,642,          
OWI4A9,989,          
MLT742,990,          
RDV9F3,991,          
KXG3A2,313,          
DGQ4F9,993,          
MCG2A1,996,          
QIK2D8,772,          
MLM747,997,          
RLH2J1,411,          
DPJ0C5,92,          
IGO6A0,503,          
MEL5G6,999,          
A059B4,1,          
QNM2H3,1001,          
ARSOG7,223,          
MLO3G8,1002,          
A0S9B4,1,          
AOS9B4,1000,"          
"
RLB1C3,930,          
HHX3I9,1005,          
QHI0A2,1004,          
MGI080,1003,          
QJJ066,1006,          
LYZ589,1007,          
BAA8G4,1011,          
MFF073,1012,          
MGB419,1013,          
MIN0C7,179,          
MID031,1014,          
QTL5A5,2,"          
"
MEC1E9,1016,          
MJJ506,377,          
MHT142,1017,          
MMK714,468,          
MEC024,1018,          
MLR5F6,860,          
MGJ826,1022,          
PUD2G9,1020,          
FUI1H2,1021,          
MJF3I5,538,          
MIM986,1025,          
OKG134,116,          
MHW5H9,1027,          
MKY846,723,          
ASD0B5,1028,          
MFV7D3,1029,          
MHN010,304,          
MDP459,413,          
MME0F0,115,          
MKY5C8,393,          
MIX7H0,1031,          
QDF4D4,913,          
MGJ134,1033,          
MJE907,1032,          
SXA7C0,39,          
IUH6B1,843,          
MMB040,988,          
LZQ431,1035,          
MDP232,1036,          
MIT897,9,          
MHB453,1038,          
QHW107,1039,          
RLO4I1,5,          
MDM5G7,1040,          
MMA847,171,          
MGW920,1041,          
PXU788,1042,          
APC3J2,236,          
IRB652,687,          
QJH1G6,115,          
LYA9E7,154,          
MKM722,1045,          
QID576,1046,          
MYY4D2,3,          
AVN7D8,254,          
OBL2E6,1047,          
MKO394,1048,          
MFW7A4,1049,          
QHK028,1050,          
FPQ9D8,1052,          
PYV2G7,1053,          
MHS574,1054,          
MIZ9E7,1055,          
MID476,1057,          
EEB1C1,1058,          
MJO3G6,1051,          
ENF362,1059,          
MJT5I6,1061,          
MFQ708,1060,          
HTI137,248,          
MEQ5H4,1062,          
MKQ009,1044,          
MKQ3C8,1063,          
QIV3J8,91,          
MLX1B9,1065,          
MFB9H8,1064,          
QIX832,1066,          
IOI803,1643,          
MHD9J6,1067,          
MID884,1068,          
MBA958,1070,          
KIR8H1,1496,          
QHB4C6,1071,          
BBV6E2,586,          
OFD6F9,1073,          
OKE530,313,          
MHX770,1075,          
MDZ818,1074,          
MHV5D0,1076,          
MKG205,1078,          
LXC405,1080,          
QKO0F5,1081,          
MHM748,313,          
FXS0E5,42,          
MLF680,1082,          
MIF630,1083,          
MBD4I7,908,          
MHT915,893,          
QIQ7J5,1045,          
MEN6H7,523,          
MGB8A9,572,          
OOK9F9,1086,          
BTR666,1087,          
QIP2J5,1088,          
QWR6D8,799,          
QIG9C7,1322,          
JFQ781,1090,          
QPB4H8,19,          
QJT772,1091,          
MKS0H8,1092,          
PWB4J8,1093,          
ATD297,271,          
MEU5I7,1094,          
QTM499,1095,          
RDX8I4,779,          
MIM0A5,615,          
RAE1H3,207,          
AKK729,1096,          
QIH271,1098,          
MHD6I7,19,          
MGU6C1,1099,          
MLT6I4,426,          
MDN814,1101,          
MFF8G4,1102,          
FJJ9B0,1103,          
AJX2G6,1104,          
PYU799,1106,          
MLS910,1107,          
FTS2D6,1108,          
MFH4B8,1105,          
LWX002,1110,          
MJD4J2,1111,          
MGK7F7,1112,          
BCV015,1113,          
MDL708,1114,          
MIB418,450,          
MJO6G1,82,          
LWZ929,393,          
MGO030,1116,          
ERD4J1,1117,          
MGJ090,1118,          
MCP2D0,196,          
KPP0A1,1120,          
IKN9B0,1121,          
MAW0H0,1122,          
MGR772,1123,          
AZO7F3,1124,          
ETY532,973,          
REA8F6,1108,          
QOK0F7,1125,          
LZF1E4,1127,          
MCO6I9,1128,          
MCD6I9,1128,          
MGD171,645,          
FRX3D0,1129,          
LYT1A0,12,          
MBY378,1130,          
MGJ0J0,1118,          
RFR9E1,556,          
MIS058,1132,itens na suspenção para fazer.          
MGF6B6,944,          
MDE1H3,1131,          
MKG4F4,411,          
MAI2B0,1319,          
FDW4D4,1135,          
CBL6C7,1136,          
MFP3G5,1137,          
MFL310,1138,          
MBV378,1130,          
QAD9E3,115,
MLC5G9,485,          
MHJ0C3,1140,          
ARM276,1139,          
ARR9A5,1141,          
MJE845,1108,          
MLH0D3,1142,          
AAF7H7,107,          
MLC902,1143,          
HEE1C6,1144,          
BEY0B2,134,          
QDE4I8,34,          
MJS597,1045,          
ARR195,1145,          
JHM3A8,363,          
ALV658,853,          
QIW9D1,1147,          
LZJ225,572,          
EWS927,1148,          
MJE377,1149,          
MJK617,1150,          
ITP4J2,1153,          
APK1B7,1154,          
MHN153,1156,          
HNW7D2,1157,          
KGJ8B1,1158,          
MKR2D6,1159,          
DHQ526,1160,          
DTU7F6,343,          
KAR0J1,1162,          
FPM2J5,1163,          
LZV563,1161,          
LHB395,270,          
AOS8H4,76,          
OOX3E2,872,"          
"
IKR760,1166,          
MKU166,1045,         
MKO166,1045,         
QWU9A6,511,          
MEW9E3,135,          
LZA7A7,455,          
BEA2D6,1006,          
MGX527,1168,          
QJR339,1169,          
LZO036,1157,          
MFX6I1,1171,          
MLG3B0,1167,          
MLQ2I9,1173,          
AEV3E9,1174,          
LXQ560,154,          
PQL2J3,1175,          
AQR840,1176,          
ECOSPO,1172,          
LZX7B8,1181,          
QHH216,1180,          
AVQ6A3,1180,          
ETF8A2,1315,          
MHU668,1183,          
GGO0D7,831,          
MGJ818,474,          
MLV870,1182,          
JMZ0I7,1184,          
MHM3G6,3,          
QIE5B1,540,          
QIB5B1,1185,          
RVT6D1,465,          
ION950,1108,          
RLE1H7,1187,          
INY7E5,353,          
MLW9J0,1188,          
MGK8F1,1189,          
MBY628,1191,          
KVC8J6,1192,          
MFE521,410,          
MLC9B0,1108,          
MHA504,1193,          
MIE220,1194,          
QIU391,1195,          
MCU7C5,1199,          
QHD8D0,1182,          
FCD1A7,1201,          
MIZ594,1203,          
MIV4G5,1198,          
"205,63",1203,          
MEP382,571,          
MBJ747,1204,          
MBI618,1205,          
KPW8E6,1206,          
MJU1H1,1207,          
MAL317,1354,          
MJF918,1211,          
AVL090,1212,"          
"
CVB5F6,1210,          
MCL9F3,1213,          
PDT6C4,1214,          
QIG6J6,176,          
LKR760,1166,          
FWV3A9,1215,          
AQW8A2,1216,          
MFW0H8,194,          
LQT2D5,1219,          
ASW2A3,1217,          
MEG5G8,1220,          
QHO6G6,1221,          
MEM2F0,1222,          
MFF164,922,          
